version,tstamp,name,mean,stddev,median,user,system,min,max,recs_per_sec
5.0.3,2025-05-22-15,frequency_index_stats_mode_none,0.9775057086666669,0.023914755983928192,0.9655312920000001,4.468569333333333,0.22235899999999997,0.9619435420000001,1.005042292,1022495
5.0.3,2025-05-22-15,frequency_j1,3.526020875,0.11141481804472815,3.473403958,3.395813,0.12262899999999999,3.450659,3.653999667,283607
5.0.3,2025-05-22-15,frequency_j1_ignorecase,6.4710887496666665,0.5412229176425534,6.214358333,6.101546999999999,0.13767766666666667,6.106007541,7.092900375,154536
5.0.3,2025-05-22-15,frequency_limit20,3.2197420416666667,0.4924262525081046,2.940698958,3.670392666666667,0.20054533333333335,2.9302125,3.788314667,310559
5.0.3,2025-05-22-15,frequency_limit20_index,0.9981034303333334,0.05756408527427343,0.965073291,4.544575999999999,0.2245663333333333,0.964664708,1.064572292,1002004
5.0.3,2025-05-22-15,frequency_no_limit,4.576945097,0.005962136671233191,4.577734083,5.2339693333333335,0.19754833333333333,4.57062775,4.582473458,218484
5.0.3,2025-05-22-15,frequency_no_limit_index,2.722868139333334,0.10516584959071203,2.695411334,6.294322,0.26443999999999995,2.6341541250000002,2.839038959,367242
5.0.3,2025-05-22-15,frequency_notrim,2.901745250333333,0.02482127656384192,2.893637584,3.5850259999999996,0.17616066666666666,2.881991625,2.929606542,344590
5.0.3,2025-05-22-15,frequency_notrim_index,0.9498929163333334,0.0020498132639577833,0.950118541,4.437473,0.2167943333333333,0.9477396250000001,0.951820583,1052632
5.0.3,2025-05-22-15,frequency_other_sorted,2.937220888666667,0.03483086938107903,2.926620708,3.6085766666666665,0.17291333333333334,2.908921625,2.976120333,340483
5.0.3,2025-05-22-15,frequency_other_sorted_index,1.0110874723333334,0.06401913020627259,0.9850185830000001,4.556162333333334,0.22599266666666665,0.964215667,1.084028167,989120
5.0.3,2025-05-22-15,frequency_selregex,1.2545088059999998,0.030056380748943536,1.240084792,1.2833643333333333,0.09229233333333332,1.234383167,1.289058459,796813
5.0.3,2025-05-22-15,frequency_selregex_ignorecase,1.3383180003333333,0.0034252790153991106,1.3392076670000002,1.3715269999999997,0.08991133333333333,1.334535667,1.341210667,747384
5.0.3,2025-05-22-15,frequency_sorted,2.7597719726666665,0.03687125790140665,2.747002834,3.394904333333333,0.176538,2.730982667,2.801330417,362319
5.0.3,2025-05-22-15,frequency_sorted_index,2.758749097666667,0.0289047252464054,2.742330209,3.382488,0.17570633333333333,2.741793125,2.792123959,362450
5.0.3,2025-05-22-15,geocode_reverse,2.8293367776666667,0.5317895571116125,2.529365833,2.7585149999999996,10.341193666666667,2.5153037080000002,3.443340792,353482
5.0.3,2025-05-22-15,geocode_reverse_batchall,0.049551750000000006,0.00038231995354022795,0.049732000000000005,0.040509333333333335,0.018066999999999996,0.049112625,0.049810625000000004,20000000
